id,name,name_jp,name_ko,effect_entry,effect_entry_ko,effect_detail,introduced_generation_id
1,Stench,あくしゅう,악취,"By releasing a stench when attacking, the Pokémon may cause the target to flinch.",악취를 풍겨서 공격했을 때 상대가 풀죽을 때가 있다.,This Pokémon's damaging moves have a 10% chance to make the target flinch with each hit if they do not already cause flinching as a secondary effect.  This ability does not stack with a held item.  Overworld: The wild encounter rate is halved while this Pokémon is first in the party.,3
2,Drizzle,あめふらし,잔비,The Pokémon makes it rain when it enters a battle.,등장했을 때 날씨를 비로 만든다.,"The weather changes to rain for 5 turns when this Pokémon enters battle. If multiple Pokémon with this ability, drought, sand stream, or snow warning are sent out at the same time, the abilities will activate in order of Speed, respecting trick room.  Each ability's weather will cancel the previous weather, and only the weather summoned by the slowest of the Pokémon will stay. If the weather is extremely harsh sunlight, heavy rain, or mysterious air current, this ability will not be activated.",3
3,Speed Boost,かそく,가속,The Pokémon's Speed stat is boosted every turn.,매 턴 스피드가 올라간다.,This Pokémon's Speed rises one stage after each turn.,3
4,Battle Armor,カブトアーマー,전투무장,Hard armor protects the Pokémon from critical hits.,단단한 껍질에 보호받아 상대의 공격이 급소에 맞지 않는다.,Moves cannot score critical hits against this Pokémon.  This ability functions identically to shell armor.,3
5,Sturdy,がんじょう,옹골참,The Pokémon cannot be knocked out by a single hit as long as its HP is full. One-hit KO moves will also fail to knock it out.,HP가 꽉 찼을 때 기술을 받아도 일격에 쓰러지지 않는다. 일격필살 기술의 효과도 받지 않는다.,"When this Pokémon is at full HP, any hit that would knock it out will instead leave it with 1 HP.  Regardless of its current HP, it is also immune to the one-hit KO moves: fissure, guillotine, horn drill, and sheer cold.  If this Pokémon is holding a focus sash, this ability takes precedence and the item will not be consumed.",3
6,Damp,しめりけ,습기,"The Pokémon dampens its surroundings, preventing all Pokémon from using explosive moves such as Self-Destruct.",주변을 습하게 함으로써 자폭 등 폭발하는 기술을 아무도 못 쓰게 한다.,"While this Pokémon is in battle, self destruct and explosion will fail and aftermath will not take effect.",3
7,Limber,じゅうなん,유연,The Pokémon's limber body prevents it from being paralyzed.,유연한 몸으로 인해 마비 상태가 되지 않는다.,"This Pokémon cannot be paralyzed.  If a Pokémon is paralyzed and acquires this ability, its paralysis is healed; this includes when regaining a lost ability upon leaving battle.",3
8,Sand Veil,すながくれ,모래숨기,Boosts the Pokémon's evasiveness in a sandstorm.,모래바람일 때 회피율이 올라간다.,"During a sandstorm, this Pokémon has 1.25× its evasion, and it does not take sandstorm damage regardless of type.  The evasion bonus does not count as a stat modifier.  Overworld: If the lead Pokémon has this ability, the wild encounter rate is halved in a sandstorm.",3
9,Static,せいでんき,정전기,The Pokémon is charged with static electricity and may paralyze attackers that make direct contact with it.,정전기를 몸에 둘러 자신에게 접촉한 상대를 마비시킬 때가 있다.,"Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being paralyzed.  Pokémon that are immune to electric-type moves can still be paralyzed by this ability.  Overworld: If the lead Pokémon has this ability, there is a 50% chance that encounters will be with an electric Pokémon, if applicable.",3
10,Volt Absorb,ちくでん,축전,"If hit by an Electric-type move, the Pokémon has its HP restored instead of taking damage.",전기타입의 기술로 공격받으면 데미지를 받지 않고 회복한다.,"Whenever an electric-type move hits this Pokémon, it heals for 1/4 of its maximum HP, negating any other effect on it.  This ability will not take effect if this Pokémon is ground-type and thus immune to Electric moves.  Electric moves will ignore this Pokémon's substitute.  This effect includes non-damaging moves, i.e. thunder wave.",3
