cid,name,start,end,cnt,rank_cnt,rule,season,rst,ts1,ts2
quqjjyxlbddu5uwz7wbn,시즌 36,2025. 11. 01. 13:00,2025. 12. 01. 08:59,106136,1000,0,36,0,1764147598,1764147609
ad4tuiajmu4vao227wbn,시즌 36,2025. 11. 01. 13:00,2025. 12. 01. 08:59,106124,1000,1,36,0,1764147598,1764147609
auqjjyxlbddu5e2w7wbn,시즌 35,2025. 10. 01. 13:00,2025. 11. 01. 08:59,178717,31487,0,35,2,1761962396,1761962489
qc4tuiajmu4vaoky7wbn,시즌 35,2025. 10. 01. 13:00,2025. 11. 01. 08:59,178708,10854,1,35,2,1761962396,1761962489
qtqjjyxlbddu54nvjwbn,시즌 34,2025. 09. 01. 13:00,2025. 10. 01. 08:59,223624,15510,1,34,2,1759283996,1759284116
ac4tuiajmu4vag3qjwbn,시즌 34,2025. 09. 01. 13:00,2025. 10. 01. 08:59,223643,39295,0,34,2,1759283996,1759284116
qb4tuiajmu4vaojnqmbn,시즌 33,2025. 08. 01. 13:00,2025. 09. 01. 08:59,230826,38723,0,33,2,1756749598,1756749722
atqjjyxlbddu5mypqmbn,시즌 33,2025. 08. 01. 13:00,2025. 09. 01. 08:59,230807,16263,1,33,2,1756749598,1756749722
qsqjjyxlbddu5enoqmbn,시즌 32,2025. 07. 01. 13:00,2025. 08. 01. 08:59,191477,15220,1,32,2,1754013598,1754013712
asqjjyxlbddu54vlqmbn,시즌 32,2025. 07. 01. 13:00,2025. 08. 01. 08:59,191491,34480,0,32,2,1754013598,1754013712
qopjrlmglqai4nri7qan,시즌 31,2025. 06. 01. 13:00,2025. 07. 01. 08:59,182806,15113,1,31,2,1751335198,1751335317
aopjrlmglqai45oh7qan,시즌 31,2025. 06. 01. 13:00,2025. 07. 01. 08:59,182827,35112,0,31,2,1751335198,1751335317
arloqotrdhil6ik5466m,시즌 30,2025. 05. 01. 13:00,2025. 06. 01. 08:59,179824,37391,0,30,2,1748743196,1748743320
aneolekdqydyf3h6466m,시즌 30,2025. 05. 01. 13:00,2025. 06. 01. 08:59,179807,15945,1,30,2,1748743196,1748743320
qmeolekdqydyftmr466m,시즌 29,2025. 04. 01. 13:00,2025. 05. 01. 08:59,184163,15267,1,29,2,1746064798,1746064927
qqloqotrdhil6abq466m,시즌 29,2025. 04. 01. 13:00,2025. 05. 01. 08:59,184174,37730,0,29,2,1746064798,1746064927
ameolekdqydyftqvvn6m,시즌 28,2025. 03. 01. 13:00,2025. 04. 01. 08:59,220868,44570,0,28,2,1743472796,1743472947
aqloqotrdhil6ilxvn6m,시즌 28,2025. 03. 01. 13:00,2025. 04. 01. 08:59,220862,19007,1,28,2,1743472796,1743472947
aylygnxinjo3omvr6z5m,시즌 27,2025. 02. 01. 13:00,2025. 03. 01. 08:59,201695,18028,1,27,2,1740794396,1740794545
qxlygnxinjo3ou7m6z5m,시즌 27,2025. 02. 01. 13:00,2025. 03. 01. 08:59,201706,43950,0,27,2,1740794396,1740794545
acwjtjpkjjo3o4a7ll5m,시즌 26,2025. 01. 06. 13:00,2025. 02. 01. 08:59,210960,19142,1,26,2,1738375198,1738375358
aih3uuiacaqojtk4ll5m,시즌 26,2025. 01. 06. 13:00,2025. 02. 01. 08:59,210972,46795,0,26,2,1738375198,1738375358
avnzbjrw2b725h3vnv4m,시즌 25,2024. 12. 01. 13:00,2025. 01. 06. 08:59,256831,51574,0,25,2,1736128796,1736128958
an3ktkd2egursod4nv4m,시즌 25,2024. 12. 01. 13:00,2025. 01. 06. 08:59,256822,18199,1,25,2,1736128796,1736128958
aq6tpvpjrb725xqedh4m,시즌 24,2024. 11. 01. 13:00,2024. 12. 01. 08:59,216945,18235,1,24,2,1733018396,1733018554
qp6tpvpjrb7257ucdh4m,시즌 24,2024. 11. 01. 13:00,2024. 12. 01. 08:59,216956,50058,0,24,2,1733018396,1733018554
qm6tpvpjrb725hqqcq3m,시즌 23,2024. 10. 01. 13:00,2024. 11. 01. 08:59,244384,65012,0,23,2,1730426396,1730426613
an6tpvpjrb725pzrcq3m,시즌 23,2024. 10. 01. 13:00,2024. 11. 01. 08:59,244374,22355,1,23,2,1730426396,1730426613
qkwwb2ih5ajfnnprlg2m,시즌 22,2024. 09. 01. 13:00,2024. 10. 01. 08:59,282801,72279,0,22,2,1727747996,1727748237
avgchcohnemlknrplg2m,시즌 22,2024. 09. 01. 13:00,2024. 10. 01. 08:59,282788,25452,1,22,2,1727747996,1727748237
akwwb2ih5ajfnnjiq6zm,시즌 21,2024. 08. 01. 13:00,2024. 09. 01. 08:59,258660,57124,0,21,2,1725155996,1725156203
qugchcohnemlkvhiq6zm,시즌 21,2024. 08. 01. 13:00,2024. 09. 01. 08:59,258647,20030,1,21,2,1725155996,1725156203
aumkyyssmj2iriwsnlzm,시즌 20,2024. 07. 01. 13:00,2024. 08. 01. 08:59,234918,58446,0,20,2,1722477598,1722477813
qumkyyssmj2irijwnlzm,시즌 20,2024. 07. 01. 13:00,2024. 08. 01. 08:59,234905,20662,1,20,2,1722477598,1722477813
aunpkhabeygb3eariuym,시즌 19,2024. 06. 01. 13:00,2024. 07. 01. 08:59,241367,22592,1,19,2,1719799198,1719799410
alo5olvdndy3c52piuym,시즌 19,2024. 06. 01. 13:00,2024. 07. 01. 08:59,241379,64408,0,19,2,1719799198,1719799410
asrtzkez4v3nsvy2zuxm,시즌 18,2024. 05. 01. 13:00,2024. 06. 01. 08:59,287349,76695,0,18,2,1718247598,1718247852
a66zpmipno3zxr33zuxm,시즌 18,2024. 05. 01. 13:00,2024. 06. 01. 08:59,287338,26248,1,18,2,1718247598,1718247852
qrrtzkez4v3ns5evzuxm,시즌 17,2024. 04. 01. 13:00,2024. 05. 01. 08:59,274437,72682,0,17,2,1714528798,1714529053
q56zpmipno3zxzezzuxm,시즌 17,2024. 04. 01. 13:00,2024. 05. 01. 08:59,274423,21838,1,17,2,1714528798,1714529053
arrtzkez4v3nsvxx3oxm,시즌 16,2024. 03. 01. 13:00,2024. 04. 01. 08:59,332032,89531,0,16,2,1711936797,1711937092
a56zpmipno3zxrz73oxm,시즌 16,2024. 03. 01. 13:00,2024. 04. 01. 08:59,332019,28045,1,16,2,1711936797,1711937092
awayapq5mfklrmubvxwm,시즌 15,2024. 02. 01. 13:00,2024. 03. 01. 08:59,352843,96526,0,15,2,1709258396,1709258719
ao6w4rhprgghkgyyuxwm,시즌 15,2024. 02. 01. 13:00,2024. 03. 01. 08:59,352830,30563,1,15,2,1709258396,1709258719
qjmfrrbqwcn6flojqjvm,시즌 14,2024. 01. 04. 13:00,2024. 02. 01. 08:59,436055,105262,0,14,2,1706752797,1706753139
qz7crtsj7jdiku4kqjvm,시즌 14,2024. 01. 04. 13:00,2024. 02. 01. 08:59,436033,35319,1,14,2,1706752797,1706753139
az7crtsj7jdike5eqjvm,시즌 13,2023. 12. 01. 13:00,2024. 01. 04. 08:59,423872,25440,1,13,2,1704956396,1704956664
ajmfrrbqwcn6fd5cqjvm,시즌 13,2023. 12. 01. 13:00,2024. 01. 04. 08:59,423923,86546,0,13,2,1704956396,1704956664
aswiqx2xvhsv6yrws7um,시즌 12,2023. 11. 01. 13:00,2023. 12. 01. 08:59,318484,86569,0,12,2,1701395996,1701396293
qswiqx2xvhsv6ap2s7um,시즌 12,2023. 11. 01. 13:00,2023. 12. 01. 08:59,318454,25936,1,12,2,1701395996,1701396293
axv36hna2hymfr3aa4tm,시즌 11,2023. 10. 01. 13:00,2023. 11. 01. 08:59,366162,29110,1,11,2,1698803996,1698804324
qqrr5b24cjexwhfswkum,시즌 11,2023. 10. 01. 13:00,2023. 11. 01. 08:59,366180,95232,0,11,2,1698803996,1698804324
q6hjvt3ge6d3rlvnfstm,시즌 10,2023. 09. 01. 13:00,2023. 10. 01. 08:59,381569,25267,1,10,2,1696125596,1696125881
a6hjvt3ge6d3rtcgfstm,시즌 10,2023. 09. 01. 13:00,2023. 10. 01. 08:59,381591,79663,0,10,2,1696125596,1696125881
qycjvt3ge6d3r3agydtm,시즌 9,2023. 08. 01. 13:00,2023. 09. 01. 08:59,344920,75040,0,9,2,1693533597,1693533880
aycjvt3ge6d3rtzdydtm,시즌 9,2023. 08. 01. 13:00,2023. 09. 01. 08:59,344901,27230,1,9,2,1693533597,1693533880
quklrfll3ju2nbiquxrm,시즌 8,2023. 07. 01. 13:00,2023. 08. 01. 08:59,315700,26496,1,8,2,1690855197,1690855490
auklrfll3ju2nb2ouxrm,시즌 8,2023. 07. 01. 13:00,2023. 08. 01. 08:59,315714,73371,0,8,2,1690855197,1690855490
apx62uoxgkjlt4g5g4pm,시즌 7,2023. 06. 01. 13:00,2023. 07. 01. 08:59,297289,18504,1,7,2,1688176797,1688177028
qox62uoxgkjlt4f4g4pm,시즌 7,2023. 06. 01. 13:00,2023. 07. 01. 08:59,297306,61763,0,7,2,1688176797,1688177028
aox62uoxgkjltu7zg4pm,시즌 6,2023. 05. 01. 13:00,2023. 06. 01. 08:59,338525,82848,0,6,2,1685584797,1685585091
qvaiqi3ozitqn262g4pm,시즌 6,2023. 05. 01. 13:00,2023. 06. 01. 08:59,338509,24721,1,6,2,1685584797,1685585091
qnx62uoxgkjltemxg4pm,시즌 5,2023. 04. 01. 13:00,2023. 05. 01. 08:59,452325,31957,1,5,2,1682906396,1682906776
anx62uoxgkjltefwg4pm,시즌 5,2023. 04. 01. 13:00,2023. 05. 01. 08:59,452343,112405,0,5,2,1682906396,1682906776
avaiqi3ozitqnsvrg4pm,시즌 4,2023. 03. 01. 13:00,2023. 04. 01. 08:59,577211,35484,1,4,2,1680749997,1680750134
qmx62uoxgkjltujqg4pm,시즌 4,2023. 03. 01. 13:00,2023. 04. 01. 08:59,577230,154203,0,4,2,1680314397,1680314912
qylk3i55imrfjqgdt2om,시즌 3,2023. 02. 01. 13:00,2023. 03. 01. 08:59,720134,202835,0,3,2,1677635997,1677636661
abdk2tn4ypuqfxeft2om,시즌 3,2023. 02. 01. 13:00,2023. 03. 01. 08:59,720117,45144,1,3,2,1677635997,1677636661
auyca6htaokorusat2om,시즌 2,2023. 01. 06. 13:00,2023. 02. 01. 08:59,870514,52575,1,2,2,1676869197,1676869373
amiitd22omhrrud7s2om,시즌 2,2023. 01. 06. 13:00,2023. 02. 01. 08:59,870536,237701,0,2,2,1676861998,1676862633
asdnvg77ap4qitgrycom,시즌 1,2022. 12. 02. 09:00,2023. 01. 05. 08:59,1227984,274877,0,1,2,1676865597,1676866450
q5h3rmjulwlf2qvsycom,시즌 1,2022. 12. 02. 09:00,2023. 01. 05. 08:59,1227945,61801,1,1,2,1698641998,1698642190
