id,name,name_jp,name_ko,effect_entry,effect_entry_ko,type_id,damage_class_id,power,accuracy,pp,priority,move_target_id,is_contact,crit_rate,drain,healing,min_hits,max_hits,introduced_in_generation_id
1,Pound,はたく,막치기,Inflicts regular damage.,긴 꼬리나 손 등을 사용하여 상대를 때려서 공격한다.,0,0,40,100,35,0,0,1,,,,,,1
2,Karate Chop,からてチョップ,태권당수,Inflicts regular damage. User's critical hit rate is one level higher when using this move.,날카로운 당수로 상대를 때려서 공격한다. 급소에 맞기 쉽다.,1,0,50,100,25,0,0,1,1,,,,,1
3,Double Slap,おうふくビンタ,연속뺨치기,"Inflicts regular damage. Hits 2–5 times in one turn. Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times. Averages to 3 hits per use.",연속 뺨치기로 상대를 때려서 공격한다. 2-5회 동안 연속으로 쓴다.,0,0,15,85,10,0,0,1,,,,2,5,1
4,Comet Punch,れんぞくパンチ,연속펀치,"Inflicts regular damage. Hits 2–5 times in one turn. Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times. Averages to 3 hits per use.",노도 같은 펀치로 상대를 세게 때려서 공격한다. 2-5회 동안 연속으로 쓴다.,0,0,18,85,15,0,0,1,,,,2,5,1
5,Mega Punch,メガトンパンチ,메가톤펀치,Inflicts regular damage.,힘을 담은 펀치로 상대를 공격한다.,0,0,80,85,20,0,0,1,,,,,,1
6,Pay Day,ネコにこばん,고양이돈받기,"Inflicts regular damage. After the battle ends, the winner receives five times the user's level in extra money for each time this move was used.",상대의 몸에 돈을 세게 던져서 공격한다. 배틀 후에 돈을 받을 수 있다.,0,0,40,100,20,0,0,0,,,,,,1
7,Fire Punch,ほのおのパンチ,불꽃펀치,Inflicts regular damage. Has a 10% chance to burn the target.,불꽃을 담은 펀치로 상대를 공격한다. 화상 상태로 만들 때가 있다.,9,0,75,100,15,0,0,1,,,,,,1
8,Ice Punch,れいとうパンチ,냉동펀치,Inflicts regular damage. Has a 10% chance to freeze the target.,냉기를 담은 펀치로 상대를 공격한다. 얼음 상태로 만들 때가 있다.,14,0,75,100,15,0,0,1,,,,,,1
9,Thunder Punch,かみなりパンチ,번개펀치,Inflicts regular damage. Has a 10% chance to paralyze the target.,전격을 담은 펀치로 상대를 공격한다. 마비 상태로 만들 때가 있다.,12,0,75,100,15,0,0,1,,,,,,1
10,Scratch,ひっかく,할퀴기,Inflicts regular damage.,단단하고 뾰족한 날카로운 손톱으로 상대를 할퀴어서 공격한다.,0,0,40,100,35,0,0,1,,,,,,1
11,Vise Grip,はさむ,찝기,Inflicts regular damage.,상대를 양쪽에서 집어서 데미지를 준다.,0,0,55,100,30,0,0,1,,,,,,1
12,Guillotine,ハサミギロチン,가위자르기,"Inflicts damage equal to the target's max HP. Ignores accuracy and evasion modifiers. This move's accuracy is 30% plus 1% for each level the user is higher than the target. If the user is a lower level than the target, this move will fail. Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting. The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target. However, they will not give this move a chance to break through detect or protect.",큰 집게로 상대를 베어 갈라 공격한다. 맞으면 일격에 기절한다.,0,0,,30,5,0,0,1,,,,,,1
13,Razor Wind,かまいたち,칼바람,Inflicts regular damage. User's critical hit rate is one level higher when using this move. User charges for one turn before attacking. This move cannot be selected by sleep talk.,바람의 칼날을 만들어 2턴째에 상대를 공격한다. 급소에 맞기 쉽다.,0,1,80,100,10,0,6,0,1,,,,,1
14,Swords Dance,つるぎのまい,칼춤,Raises the user's Attack by two stages.,싸움의 춤을 격렬하게 추며 기세를 높인다. 자신의 공격을 크게 올린다.,0,2,,,20,0,9,0,,,,,,1
15,Cut,いあいぎり,풀베기,Inflicts regular damage.,낫이나 발톱 등으로 상대를 베어 공격한다. 가느다란 나무도 자를 수 있다.,0,0,50,95,30,0,0,1,,,,,,1
16,Gust,かぜおこし,바람일으키기,"Inflicts regular damage. If the target is under the effect of bounce, fly, or sky drop, this move will hit with double power.",날개로 일으킨 격한 바람을 상대에게 부딪쳐서 공격한다.,2,1,40,100,35,0,1,0,,,,,,1
17,Wing Attack,つばさでうつ,날개치기,Inflicts regular damage.,크게 펼친 훌륭한 날개를 상대에게 부딪쳐서 공격한다.,2,0,60,100,35,0,1,1,,,,,,1
18,Whirlwind,ふきとばし,날려버리기,Switches the target out for another of its trainer's Pokémon selected at random. Wild battles end immediately. Doesn't affect Pokémon with suction cups or under the effect of ingrain.,상대를 날려버려서 교대할 포켓몬을 끌어낸다. 야생의 경우에는 배틀이 끝난다.,0,2,,,20,-6,0,0,,,,,,1
19,Fly,そらをとぶ,공중날기,"Inflicts regular damage. User flies high into the air for one turn, becoming immune to attack, and hits on the second turn. During the immune turn, gust, hurricane, sky uppercut, smack down, thunder, twister, and whirlwind still hit the user normally. gust and twister also have double power against the user. The damage from hail and sandstorm still applies during the immune turn. The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard. This move cannot be used while gravity is in effect. This move cannot be selected by sleep talk.",1턴째에 하늘을 날아 2턴째에 상대를 공격한다. 알고 있는 도시로 날아갈 수 있다.,2,0,90,95,15,0,1,1,,,,,,1
20,Bind,しめつける,조이기,"Inflicts regular damage. For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn. The user continues to use other moves during this time. If the user leaves the field, this effect ends. Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times. Averages to 3 hits per use. rapid spin cancels this effect.",긴 몸이나 덩굴 등을 써서 4-5턴 동안 상대를 조여 공격한다.,0,0,15,85,20,0,0,1,,,,,,1
21,Slam,たたきつける,힘껏치기,Inflicts regular damage.,긴 꼬리나 덩굴 등을 사용해 상대를 힘껏 쳐서 공격한다.,0,0,80,75,20,0,0,1,,,,,,1
22,Vine Whip,つるのムチ,덩굴채찍,Inflicts regular damage.,채찍처럼 휘어지는 가늘고 긴 덩굴로 상대를 힘껏 쳐서 공격한다.,11,0,45,100,25,0,0,1,,,,,,1
23,Stomp,ふみつけ,짓밟기,Inflicts regular damage. Has a 30% chance to make the target flinch. Power is doubled against Pokémon that have used minimize since entering the field.,큰 발로 상대를 짓밟아서 공격한다. 상대를 풀죽게 만들 때가 있다.,0,0,65,100,20,0,0,1,,,,,,1
24,Double Kick,にどげり,두번차기,Inflicts regular damage. Hits twice in one turn.,2개의 다리로 상대를 걷어차서 공격한다. 2회 연속으로 데미지를 준다.,1,0,30,100,30,0,0,1,,,,2,2,1
25,Mega Kick,メガトンキック,메가톤킥,Inflicts regular damage.,굉장한 힘을 담은 킥으로 상대를 걷어차서 공격한다.,0,0,120,75,5,0,0,1,,,,,,1
26,Jump Kick,とびげり,점프킥,"Inflicts regular damage. If this move misses, is blocked by protect or detect, or has no effect, the user takes damage equal to half of its max HP rounded down. This move cannot be used while gravity is in effect.",높이 점프해서 킥으로 상대를 공격한다. 빗나가면 자신이 데미지를 입는다.,1,0,100,95,10,0,0,1,,,,,,1
27,Rolling Kick,まわしげり,돌려차기,Inflicts regular damage. Has a 30% chance to make the target flinch.,몸을 재빨리 회전시키며 걷어차서 공격한다. 상대를 풀죽게 만들 때가 있다.,1,0,60,85,15,0,0,1,,,,,,1
28,Sand Attack,すなかけ,모래뿌리기,Lowers the target's accuracy by one stage.,상대의 얼굴에 모래를 뿌려서 명중률을 떨어뜨린다.,4,2,,100,15,0,0,0,,,,,,1
29,Headbutt,ずつき,박치기,Inflicts regular damage. Has a 30% chance to make the target flinch.,머리를 내밀어 곧장 돌진하여 공격한다. 상대를 풀죽게 만들 때가 있다.,0,0,70,100,15,0,0,1,,,,,,1
30,Horn Attack,つのでつく,뿔찌르기,Inflicts regular damage.,날카롭고 뾰족한 뿔로 상대를 공격한다.,0,0,65,100,25,0,0,1,,,,,,1
31,Fury Attack,みだれづき,마구찌르기,"Inflicts regular damage. Hits 2–5 times in one turn. Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times. Averages to 3 hits per use.",뿔이나 부리로 상대를 찔러서 공격한다. 2-5회 동안 연속으로 쓴다.,0,0,15,85,20,0,0,1,,,,2,5,1
32,Horn Drill,つのドリル,뿔드릴,"Inflicts damage equal to the target's max HP. Ignores accuracy and evasion modifiers. This move's accuracy is 30% plus 1% for each level the user is higher than the target. If the user is a lower level than the target, this move will fail. Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting. The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target. However, they will not give this move a chance to break through detect or protect.",회전하는 뿔을 상대에게 꿰찔러서 공격한다. 맞으면 일격에 기절한다.,0,0,,30,5,0,0,1,,,,,,1
33,Tackle,たいあたり,몸통박치기,Inflicts regular damage.,상대를 향해서 몸 전체를 부딪쳐가며 공격한다.,0,0,40,100,35,0,0,1,,,,,,1
34,Body Slam,のしかかり,누르기,Inflicts regular damage. Has a 30% chance to paralyze the target.,몸 전체로 상대를 덮쳐 눌러 공격한다. 마비 상태로 만들 때가 있다.,0,0,85,100,15,0,0,1,,,,,,1
35,Wrap,まきつく,김밥말이,"Inflicts regular damage. For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn. The user continues to use other moves during this time. If the user leaves the field, this effect ends. Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times. Averages to 3 hits per use. rapid spin cancels this effect.",긴 몸이나 덩굴 등을 사용해 4-5턴 동안 상대를 휘감아 공격한다.,0,0,15,90,20,0,0,1,,,,,,1
36,Take Down,とっしん,돌진,Inflicts regular damage. User takes 1/4 the damage it inflicts in recoil.,굉장한 기세로 상대에게 부딪쳐 공격한다. 자신도 조금 데미지를 입는다.,0,0,90,85,20,0,0,1,,-25,,,,1
37,Thrash,あばれる,난동부리기,"Inflicts regular damage. User is forced to attack with this move for 2–3 turns,selected at random. After the last hit, the user becomes confused. safeguard does not protect against the confusion from this move.",2-3턴 동안 마구 난동 부려서 상대를 공격한다. 난동 부린 뒤에는 혼란에 빠진다.,0,0,120,100,10,0,11,1,,,,,,1
38,Double-Edge,すてみタックル,이판사판태클,Inflicts regular damage. User takes 1/3 the damage it inflicts in recoil.,목숨을 걸고 상대에게 돌진하여 공격을 한다. 자신도 상당한 데미지를 입는다.,0,0,120,100,15,0,0,1,,-33,,,,1
39,Tail Whip,しっぽをふる,꼬리흔들기,Lowers the target's Defense by one stage.,꼬리를 좌우로 귀엽게 흔들어 방심을 유도한다. 상대의 방어를 떨어뜨린다.,0,2,,100,30,0,6,0,,,,,,1
40,Poison Sting,どくばり,독침,Inflicts regular damage. Has a 30% chance to poison the target.,독이 있는 침을 상대에게 꿰찔러서 공격한다. 독 상태로 만들 때가 있다.,3,0,15,100,35,0,0,0,,,,,,1
41,Twineedle,ダブルニードル,더블니들,Inflicts regular damage. Hits twice in the same turn. Has a 20% chance to poison the target.,2개의 침을 상대에게 꿰찔러 2회 연속으로 데미지를 준다. 독 상태로 만들 때가 있다.,6,0,25,100,20,0,0,0,,,,2,2,1
42,Pin Missile,ミサイルばり,바늘미사일,"Inflicts regular damage. Hits 2–5 times in one turn. Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times. Averages to 3 hits per use.",날카로운 침을 상대에게 발사해서 공격한다. 2-5회 동안 연속으로 쓴다.,6,0,25,95,20,0,0,0,,,,2,5,1
43,Leer,にらみつける,째려보기,Lowers the target's Defense by one stage.,날카로운 눈초리로 겁을 주어 상대의 방어를 떨어뜨린다.,0,2,,100,30,0,6,0,,,,,,1
44,Bite,かみつく,물기,Inflicts regular damage. Has a 30% chance to make the target flinch.,날카롭고 뾰족한 이빨로 물어서 공격한다. 상대를 풀죽게 만들 때가 있다.,16,0,60,100,25,0,0,1,,,,,,1
