id,cid,pokemon_species_id,form,name,name_ko,is_independent,hp,attack,defense,special_attack,special_defense,speed,total,type1_id,type2_id,ability1_id,ability2_id,ability_hidden_id,height,weight,base_experience,capture_rate,effort_hp,effort_atk,effort_def,effort_spa,effort_spd,effort_spe,is_battle_only,is_mega,is_gmax,is_region_form,sprite_url
1,1000,1,0,,,1,45,49,49,65,65,45,318,11,3,65,,34,7,69,64,45,0,0,0,1,0,0,0,0,,,/static/pokemon_forms/0001_00_Bulbasaur.png
2,2000,2,0,,,1,60,62,63,80,80,60,405,11,3,65,,34,10,130,142,45,0,0,0,1,1,0,0,0,,,/static/pokemon_forms/0002_00_Ivysaur.png
3,3000,3,0,,,1,80,82,83,100,100,80,525,11,3,65,,34,20,1000,236,45,0,0,0,2,1,0,0,0,,,/static/pokemon_forms/0003_00_Venusaur.png
10033,3001,3,1,Mega,메가진화,0,80,100,123,122,120,80,625,11,3,47,,,24,1555,281,45,0,0,0,2,1,0,1,1,0,0,/static/pokemon_forms/0003_01_Venusaur.png
10195,3002,3,2,Gigantamax,거다이맥스,0,80,100,123,122,120,80,625,11,3,47,,,240,10000,236,45,0,0,0,2,1,0,1,0,1,0,/static/pokemon_forms/0003_02_Venusaur.png
4,4000,4,0,,,1,39,52,43,60,50,65,309,9,,66,,94,6,85,62,45,0,0,0,0,0,1,0,0,,,/static/pokemon_forms/0004_00_Charmander.png
5,5000,5,0,,,1,58,64,58,80,65,80,405,9,,66,,94,11,190,142,45,0,0,0,1,0,1,0,0,,,/static/pokemon_forms/0005_00_Charmeleon.png
6,6000,6,0,,,1,78,84,78,109,85,100,534,9,2,66,,94,17,905,240,45,0,0,0,3,0,0,0,0,,,/static/pokemon_forms/0006_00_Charizard.png
10034,6001,6,1,Mega X,메가진화 X,0,78,130,111,130,85,100,634,9,15,181,,,17,1105,285,45,0,0,0,3,0,0,1,1,0,0,/static/pokemon_forms/0006_01_Charizard.png
10035,6002,6,2,Mega Y,메가진화 Y,0,78,104,78,159,115,100,634,9,2,70,,,17,1005,285,45,0,0,0,3,0,0,1,1,0,0,/static/pokemon_forms/0006_02_Charizard.png
10196,6003,6,3,Gigantamax,거다이맥스,0,78,84,78,109,85,100,534,9,2,66,,94,280,10000,240,45,0,0,0,3,0,0,1,0,1,0,/static/pokemon_forms/0006_03_Charizard.png
7,7000,7,0,,,1,44,48,65,50,64,43,314,10,,67,,44,5,90,63,45,0,0,1,0,0,0,0,0,,,/static/pokemon_forms/0007_00_Squirtle.png
8,8000,8,0,,,1,59,63,80,65,80,58,405,10,,67,,44,10,225,142,45,0,0,1,0,1,0,0,0,,,/static/pokemon_forms/0008_00_Wartortle.png
9,9000,9,0,,,1,79,83,100,85,105,78,530,10,,67,,44,16,855,239,45,0,0,0,0,3,0,0,0,,,/static/pokemon_forms/0009_00_Blastoise.png
10036,9001,9,1,Mega,메가진화,0,79,103,120,135,115,78,630,10,,178,,,16,1011,284,45,0,0,0,0,3,0,1,1,0,0,/static/pokemon_forms/0009_01_Blastoise.png
10197,9002,9,2,Gigantamax,거다이맥스,0,79,83,100,85,105,78,530,10,,67,,44,250,10000,239,45,0,0,0,0,3,0,1,0,1,0,/static/pokemon_forms/0009_02_Blastoise.png
